page,line,text
docs/intro.md,6,# Stream Toolkit 介紹
docs/intro.md,8,左側選單依功能分類。新手建議從 [快速開始](./getting-started/installation) 開始閱讀。
docs/intro.md,12,Stream Toolkit 是專為實況主打造的萬用直播工具箱，告別手忙腳亂的多網頁切換。
docs/intro.md,14,- **即時翻譯**：內建聊天室與語音雙向翻譯，輕鬆與全球觀眾互動。
docs/intro.md,15,- **全能整合**：集投票、抽獎、目標條、贊助通知與實況效果板於一體。
docs/intro.md,16,- **外觀自訂**：支援 CSS 客製化與 Steam 工作坊，自由變換風格。
docs/intro.md,17,- **快速上手**：一鍵產生 Overlay 網址，貼進 OBS 即可直接使用。
docs/intro.md,21,## 🌍 即時聊天室翻譯
docs/intro.md,23,整合 Twitch 與 YouTube 聊天室訊息。
docs/intro.md,25,自動翻譯外語訊息，讓你更輕鬆地與世界各地的觀眾交流。
docs/intro.md,27,支援頭像、徽章、平台圖示顯示，以及完整 CSS 客製化與 Steam Workshop 主題分享。
docs/intro.md,29,## 🎙️ 語音翻譯字幕
docs/intro.md,31,按住快捷鍵開始錄音。
docs/intro.md,33,自動將發言翻譯成指定語言並顯示於直播畫面，讓不同語言的觀眾也能輕鬆理解你的內容。
docs/intro.md,35,## 🎨 Steam Workshop 主題
docs/intro.md,37,下載社群製作的主題，或打造屬於自己的 Overlay 風格。
docs/intro.md,39,從聊天室到目標條、贊助通知與計時器，都能自由調整外觀與動畫效果，讓你的直播畫面不再和別人一模一樣。
docs/intro.md,41,支援 Steam Workshop 分享與下載。
docs/intro.md,43,## 🎮 常用直播工具一次整合
docs/intro.md,45,內建多種直播常用功能：
docs/intro.md,47,- 轉盤
docs/intro.md,48,- 即時投票 / 抽獎
docs/intro.md,49,- Twitch 目標條
docs/intro.md,50,- 贊助條 / 贊助通知 / 贊助紀錄板
docs/intro.md,51,- 計時器
docs/intro.md,52,- 時鐘
docs/intro.md,53,- 點歌
docs/intro.md,54,- 實況效果板（圖片 / 影片 / 音效）
docs/intro.md,55,- 表情符號牆
docs/intro.md,56,- 精華標記
docs/intro.md,58,不再需要安裝多個插件或開啟多個網頁工具。
docs/intro.md,60,## ⚡ 專為 OBS 設計
docs/intro.md,62,每個功能都提供獨立的 OBS 網址，設定完成後複製貼上即可使用。
docs/intro.md,64,聊天室、目標條、計時器、贊助通知等元件皆可獨立運作，想用什麼開什麼，用不到的功能不會影響效能。
docs/intro.md,66,減少在多個網站、插件與工具之間來回切換，把時間留給直播本身。
docs/intro.md,68,## 🔗 目前支援的平台與服務（持續新增）
docs/intro.md,70,**直播平台**
docs/intro.md,71,- Twitch
docs/intro.md,72,- YouTube Live
docs/intro.md,74,**翻譯服務**
docs/intro.md,75,- DeepL
docs/intro.md,76,- MyMemory
docs/intro.md,78,**語音辨識**
docs/intro.md,79,- Whisper（本機離線模型）
docs/intro.md,81,**金流與贊助**
docs/intro.md,82,- Twitch Bits
docs/intro.md,83,- YouTube 超級留言、超級貼圖
docs/intro.md,84,- PayPal
docs/intro.md,85,- Stripe
docs/intro.md,86,- 歐付寶
docs/intro.md,87,- 綠界
docs/getting-started/installation.md,5,# 安裝與啟動
docs/getting-started/installation.md,7,## 系統需求
docs/getting-started/installation.md,9,- Windows 10 / 11（64位元）
docs/getting-started/installation.md,10,- 網路連線
docs/getting-started/installation.md,12,## 下載安裝
docs/getting-started/installation.md,14,1. 前往 [Steam 頁面](https://store.steampowered.com/app/4828880/Stream_Toolkit/) 購買 Stream Toolkit
docs/getting-started/installation.md,15,2. 在 Steam 中點擊「安裝」，等待下載完成
docs/getting-started/installation.md,16,3. 從 Steam 啟動 Stream Toolkit
docs/getting-started/installation.md,18,## 第一次啟動
docs/getting-started/installation.md,20,啟動後會看到主控制介面，左側選單列出所有功能。
docs/getting-started/installation.md,22,Stream Toolkit 的每個功能都有對應的本機網址（例如 `http://127.0.0.1:7272/donate`），在 OBS 中新增「瀏覽器來源」並填入該網址，就能讓功能畫面出現在直播畫面上。
docs/getting-started/obs-source.md,5,# 如何在 OBS 加入來源
docs/getting-started/obs-source.md,7,Stream Toolkit 的大部分功能都需要在 OBS 中加入「瀏覽器來源」才能顯示在直播畫面上。
docs/getting-started/obs-source.md,9,## 步驟一：複製功能網址
docs/getting-started/obs-source.md,11,在 Stream Toolkit 中，每個功能頁面都會顯示對應的本機網址，格式為：
docs/getting-started/obs-source.md,17,複製你想加入的功能網址。
docs/getting-started/obs-source.md,19,## 步驟二：在 OBS 新增瀏覽器來源
docs/getting-started/obs-source.md,21,1. 在 OBS 的 **來源** 區塊，點擊下方的 **+** 按鈕
docs/getting-started/obs-source.md,22,2. 選擇 **瀏覽器**
docs/getting-started/obs-source.md,23,3. 選擇 **建立新的**，輸入來源名稱（例如「贊助條」），點擊 **確定**
docs/getting-started/obs-source.md,24,4. 在 **URL** 欄位貼上步驟一複製的網址
docs/getting-started/obs-source.md,25,5. 依需求調整 **寬度** 與 **高度**
docs/getting-started/obs-source.md,26,6. 點擊 **確定**
docs/getting-started/obs-source.md,30,## 需要勾選「使用 OBS 控制音訊」的功能
docs/getting-started/obs-source.md,32,以下功能包含音訊輸出，必須在瀏覽器來源的設定中勾選 **使用 OBS 控制音訊**，聲音才能正確出現在直播中：
docs/getting-started/obs-source.md,34,- **實況效果板** — 影片、音效
docs/getting-started/obs-source.md,35,- **贊助通知**
docs/getting-started/obs-source.md,36,- **點歌**
docs/getting-started/obs-source.md,38,勾選方式：
docs/getting-started/obs-source.md,39,1. 在 OBS 來源列表中，對該瀏覽器來源點擊右鍵
docs/getting-started/obs-source.md,40,2. 選擇 **屬性**
docs/getting-started/obs-source.md,41,3. 找到 **使用 OBS 控制音訊** 並勾選
docs/getting-started/obs-source.md,42,4. 點擊 **確定**
docs/getting-started/obs-source.md,46,:::tip
docs/getting-started/obs-source.md,47,若勾選後仍沒有聲音，確認 OBS 的混音器中該來源沒有被靜音。
docs/getting-started/trial-comparison.md,5,# 試用版 / 正式版比較
docs/getting-started/trial-comparison.md,7,Stream Toolkit 提供**免費試用版**與**正式版**。試用版沒有時間限制，可以永久使用大部分互動功能，讓你充分體驗；正式版則解鎖金流串接、Steam 工作坊、進階客製與各項數量限制。
docs/getting-started/trial-comparison.md,14,"      <th className=""feat-col"">功能項目</th>"
docs/getting-started/trial-comparison.md,15,"      <th className=""trial-col"">試用版<br/><span className=""col-sub"">Demo</span></th>"
docs/getting-started/trial-comparison.md,16,"      <th className=""pro-col"">正式版<br/><span className=""col-sub"">Pro</span></th>"
docs/getting-started/trial-comparison.md,20,"    <tr className=""section-row""><td colSpan={3}>實況平台串接</td></tr>"
docs/getting-started/trial-comparison.md,22,      <td>Twitch</td>
